((1334493841756307500, 'omersurhay', 'gkantar'), 0.7587327376116978)
((1324959675243229200, 'omersurhay', 'rebahozkoc'), 0.8069088138176277)
((1329353722300862500, 'omersurhay', 'caltinuzengi'), 0.8479484613460095)
((1326459652465254400, 'omersurhay', 'mustafacem'), 0.8871461716937354)
((1331587189109629000, 'omersurhay', 'mustafacem'), 0.8489294006363401)
((1336658102867865600, 'omersurhay', 'caltinuzengi'), 0.7182472951105752)
((1325158580752949200, 'omersurhay', 'mehmetcandar'), 0.9602726135530346)
((1328765229854060500, 'omersurhay', 'ramonberke'), 0.7924473257698541)
((1331578381364842500, 'omersurhay', 'mustafacem'), 0.4468292682926829)
((1327998039441756200, 'omersurhay', 'tolgaaydin'), 0.7234375)
((1325921106033737700, 'omersurhay', 'tahabayindir'), 0.7454087248710968)
((1331602289539342300, 'zubeyir', 'colakulas'), 0.7465436316612919)
((1326067817075060700, 'zubeyir', 'alperenyildiz'), 0.8665628523868335)
((1331256894632177700, 'zubeyir', 'onatt'), 0.9473474272038293)
((1336643003591569400, 'zubeyir', 'alperenyildiz'), 0.6852753840389659)
((1333060648062783500, 'zubeyir', 'orkhan'), 0.7021791767554479)
((1335849022255366100, 'zubeyir', 'tolgaaydin'), 0.9681151241534989)
((1327345913262723000, 'zubeyir', 'mehmetcandar'), 0.6387610619469026)
((1326127463869501400, 'zubeyir', 'ramonberke'), 0.6910178342337784)
((1332713359708352500, 'zubeyir', 'fethidenker'), 0.7222461357855605)
((1334620929104613400, 'zubeyir', 'gkantar'), 0.7475295906178738)
((1325775142245392400, 'zubeyir', 'burakbatman'), 0.6289248334919125)
((1325392624732266500, 'zubeyir', 'oteryaki'), 0.892636405928092)
((1325797024369942500, 'zubeyir', 'caltinuzengi'), 0.9635775325645067)
((1327863905419313200, 'zubeyir', 'fethidenker'), 0.6130391525721308)
((1324464004048117800, 'zubeyir', 'omerkuyucu'), 0.724202626641651)
((1336235317217661000, 'zubeyir', 'colakulas'), 0.9433824602363928)
((1330882546448601000, 'zubeyir', 'burakbatman'), 0.94592931246703)
((1336573797701353500, 'zubeyir', 'mustafacem'), 0.8538607173924166)
((1334619983062704000, 'zubeyir', 'mustafacem'), 0.5194343617664852)
((1327707877432291300, 'zubeyir', 'umutonder'), 0.8746073930901184)
((1332685682532253700, 'zubeyir', 'mehmetcandar'), 0.749821505069256)
((1325753751240540200, 'zubeyir', 'dogru'), 0.6265153987098717)
((1326287887869087700, 'zubeyir', 'umutonder'), 0.6626506024096386)
((1326219320314261500, 'zubeyir', 'burakbatman'), 0.6301708633093526)
((1335934585289519000, 'zubeyir', 'fethidenker'), 0.966384398255068)
((1329122677987156000, 'zubeyir', 'fethidenker'), 0.5292704893425397)
((1335173319117533200, 'zubeyir', 'mehmetcandar'), 0.7898351648351648)
((1328232584963362800, 'zubeyir', 'caltinuzengi'), 0.7387701177035791)
((1328251459075416000, 'tahabayindir', 'kkaan'), 0.8427212874908558)
((1327870197563224000, 'tahabayindir', 'omerkuyucu'), 0.9426966292134832)
((1325697127851417600, 'tahabayindir', 'rebahozkoc'), 0.8641621396935514)
((1335938360246825000, 'tahabayindir', 'eagaev'), 0.31825961625078814)
((1336593929727221800, 'tahabayindir', 'kkaan'), 0.9639960153692899)
((1331263808640266200, 'tahabayindir', 'rebahozkoc'), 0.8830016782546152)
((1324719512319627300, 'tahabayindir', 'caltinuzengi'), 0.8031048263141716)
((1324445128405196800, 'tahabayindir', 'caltinuzengi'), 0.7775485436893204)
((1330911488899305500, 'tahabayindir', 'omerkuyucu'), 0.7915145192140498)
((1325419045714210800, 'tahabayindir', 'ramonberke'), 0.5921205925010105)
((1335287823679828000, 'tahabayindir', 'eagaev'), 0.4411562284927735)
((1335928293753647000, 'tahabayindir', 'gkantar'), 0.8628167948556298)
((1331236134320529400, 'tahabayindir', 'caltinuzengi'), 0.8071945602105726)
((1326496143522459600, 'tahabayindir', 'dogru'), 0.7730125523012552)
((1334535365290561500, 'tahabayindir', 'mehmetcandar'), 0.7306629834254144)
((1327243025823752200, 'tahabayindir', 'omerkuyucu'), 0.8224498506188647)
((1326610647719633000, 'tahabayindir', 'burakbatman'), 0.8494275759084122)
((1334614921443741700, 'tahabayindir', 'umutonder'), 0.29514084716079425)
((1332309448656703500, 'tahabayindir', 'mehmetcandar'), 0.6774541531823085)
((1332939852132855800, 'tahabayindir', 'gkantar'), 0.9013335175844677)
((1335318022395924500, 'tahabayindir', 'gkantar'), 0.6541534420488124)
((1330040749916733400, 'tahabayindir', 'gkantar'), 0.7292450564406372)
((1329425445218111500, 'tahabayindir', 'gkantar'), 0.8262903769135757)
((1331528049754480600, 'tahabayindir', 'colakulas'), 0.65353408615642)
((1336344788094906400, 'dogru', 'omerkuyucu'), 0.7430699302191588)
((1330157770704904200, 'dogru', 'tolgaaydin'), 0.8398701445774036)
((1329853318441685000, 'dogru', 'gkantar'), 0.6346013167520117)
((1335930810353004500, 'dogru', 'burakbatman'), 0.7316129032258065)
((1332074148047114200, 'dogru', 'umutonder'), 0.8043478260869565)
((1332798923384246300, 'dogru', 'mustafacem'), 0.7872340425531915)
((1336298789351600000, 'dogru', 'onatt'), 0.9030583685308635)
((1333730216653549600, 'dogru', 'omerkuyucu'), 0.7592122181453257)
((1328060198934679600, 'dogru', 'omerkuyucu'), 0.8708030128941657)
((1332241500630098000, 'dogru', 'caltinuzengi'), 0.8199143058131355)
((1326806941071335400, 'dogru', 'caltinuzengi'), 0.8111201962387572)
((1330881290871169000, 'dogru', 'tolgaaydin'), 0.8795514678089958)
((1330235927936036900, 'dogru', 'colakulas'), 0.7875764402961056)
((1329430478080893000, 'dogru', 'colakulas'), 0.7018381003472909)
((1335514315957313500, 'dogru', 'omerkuyucu'), 0.839841010053776)
((1329472001782788000, 'dogru', 'rebahozkoc'), 0.8560542270124621)
((1328633512069619700, 'dogru', 'fethidenker'), 0.8885560834538319)
((1326878663602794500, 'dogru', 'mustafacem'), 0.9380155437944023)
((1328330750257737700, 'dogru', 'gkantar'), 0.7520319526296678)
((1332957473037115400, 'dogru', 'mustafacem'), 0.6974067822617769)
((1333745270698422300, 'dogru', 'burakbatman'), 0.8784205057152754)
((1330981951113732000, 'onatt', 'mustafacem'), 0.7509377344336085)
((1335175835549102000, 'onatt', 'eagaev'), 0.7178988326848249)
((1335919485979541500, 'onatt', 'caltinuzengi'), 0.8932104316546763)
((1328670470699319300, 'onatt', 'caltinuzengi'), 0.9279171644763042)
((1333418002793046000, 'onatt', 'ramonberke'), 0.7788602895372885)
((1334444768273649700, 'onatt', 'goktugmandaci'), 0.9785586658725431)
((1326107331059462100, 'onatt', 'rebahozkoc'), 0.8509485094850948)
((1335482858522243000, 'onatt', 'oteryaki'), 0.8755758086086483)
((1334615740230602800, 'onatt', 'ramonberke'), 0.5753176043557169)
((1329719885044310000, 'onatt', 'rebahozkoc'), 0.9816634960896217)
((1331226060080304000, 'onatt', 'mustafacem'), 0.6480925596712617)
((1335297892274196500, 'onatt', 'eagaev'), 0.3177782836330526)
((1328309658570924000, 'onatt', 'umutonder'), 0.7454575351475787)
((1333852113416331300, 'onatt', 'fethidenker'), 0.9044943820224719)
((1330152737179398100, 'onatt', 'tolgaaydin'), 0.9616281534873861)
((1331619904806477800, 'onatt', 'tolgaaydin'), 0.8538872642936371)
((1326174020467830800, 'onatt', 'orkhan'), 0.8602809904525344)
((1329771476850008000, 'onatt', 'burakbatman'), 0.9594748858447488)
