(('1332576205967663104_1351', 'onatt', 'gkantar'), -0.33333333333333326)
(('1329332331262345217_1377', 'onatt', 'mustafacem'), 1.0)
(('1326813232833552385_1406', 'onatt', 'goktugmandaci'), 0.5714285714285714)
(('1325454278249549826_1421', 'onatt', 'omerkuyucu'), 0.25)
(('1323721730939064321_1441', 'onatt', 'caltinuzengi'), 1.0)
(('1323623464209575936_1453', 'onatt', 'ozgurbeker'), 1.0)
(('1322916306245488641_1486', 'onatt', 'zubeyir'), 1.0)
(('1322425573340336130_1517', 'onatt', 'dogru'), 0.5714285714285714)
(('1322330157823176706_1522', 'onatt', 'omerkuyucu'), 1.0)
(('1320633764213653505_1544', 'onatt', 'emirasal'), 1.0)
(('1332592563598057472_1581', 'onatt', 'mehmetcandar'), -0.19999999999999996)
(('1312644890870910976_1606', 'onatt', 'caltinuzengi'), 1.0)
(('1326871113608073216_1631', 'onatt', 'oteryaki'), nan)
(('1322430604042891265_1666', 'onatt', 'gkantar'), 1.0)
(('1332592563598057472_1707', 'onatt', 'mehmetcandar'), -0.19999999999999996)
(('1332257858331832320_1712', 'onatt', 'gkantar'), -0.19999999999999996)
(('1327503782620635136_1792', 'onatt', 'fethidenker'), 0.0)
(('1327156147351154688_1803', 'onatt', 'msamil'), -0.19999999999999996)
(('1326828332109996048_1817', 'onatt', 'goktugmandaci'), -0.19999999999999996)
(('1324728257732841472_1848', 'onatt', 'karakoc'), 1.0)
(('1324448904730071044_1864', 'onatt', 'zubeyir'), -0.19999999999999996)
(('1323559604656181252_1878', 'onatt', 'umutonder'), nan)
(('1323264833798787072_1903', 'onatt', 'mehmetcandar'), 0.5714285714285714)
(('1322810672024113152_1932', 'onatt', 'fethidenker'), -0.19999999999999996)
(('1322793976970334211_1948', 'onatt', 'tolgaaydin'), 0.0)
(('1322523572800204802_1961', 'onatt', 'emirasal'), 1.0)
(('1322318137300234240_1997', 'onatt', 'msamil'), 0.5714285714285714)
(('1322195324107169795_2027', 'onatt', 'dogru'), 0.5714285714285714)
(('1322179882017837056_2040', 'onatt', 'goktugmandaci'), 1.0)
(('1320986085892050944_2063', 'onatt', 'alisinal'), 1.0)
(('1314870725745012739_2086', 'onatt', 'dogru'), 1.0)
(('1310138496515018752_2105', 'onatt', 'mustafacem'), 1.0)
