(('Hurriyet1884', 'fethidenker', 'msamil'), 0.8536585365853658)
(('cnnturk1031', 'fethidenker', 'burakbatman'), 0.8300575739527496)
(('cnnturk1281', 'fethidenker', 'colakulas'), 0.940622737146995)
(('Hurriyet1559', 'fethidenker', 'msamil'), 0.8275222551928784)
(('Hurriyet1369', 'fethidenker', 'colakulas'), 0.6730142821348033)
(('Hurriyet1719', 'fethidenker', 'mehmetcandar'), 0.8648130393096836)
(('cnnturk771', 'fethidenker', 'dogru'), 0.6182521120710228)
(('Hurriyet1914', 'zubeyir', 'karakoc'), 0.29245779665180915)
(('cnnturk900', 'zubeyir', 'oteryaki'), 0.8937139386577588)
(('Hurriyet2464', 'zubeyir', 'alisinal'), 0.6723665460922943)
(('Hurriyet112', 'zubeyir', 'oteryaki'), 0.8146802325581396)
(('Hurriyet1962', 'zubeyir', 'kkaan'), 0.7526377491207503)
(('Hurriyet278', 'zubeyir', 'umutonder'), 0.48958333333333326)
(('Hurriyet1555', 'zubeyir', 'dogru'), 0.7792305981765622)
(('Hurriyet2575', 'zubeyir', 'oteryaki'), 0.8383507595186428)
(('Hurriyet1846', 'zubeyir', 'msamil'), 0.7700394218134035)
(('cnnturk23', 'zubeyir', 'sananbabayev'), 0.4968152866242038)
(('cnnturk75', 'zubeyir', 'colakulas'), 0.6355587037364974)
(('Hurriyet2880', 'zubeyir', 'karakoc'), 0.45804279874969944)
(('Hurriyet424', 'zubeyir', 'tolgaaydin'), 0.6542422756253066)
(('Hurriyet1634', 'zubeyir', 'eagaev'), 0.598910310142498)
(('cnnturk843', 'zubeyir', 'oteryaki'), 1.0)
(('Hurriyet3231', 'zubeyir', 'burakbatman'), 0.5666906521881337)
(('Hurriyet1408', 'zubeyir', 'omerkuyucu'), 0.7491382612026044)
(('Hurriyet3558', 'zubeyir', 'tolgaaydin'), 0.686673448626653)
(('Hurriyet4676', 'zubeyir', 'ozgurbeker'), 0.8103750997605746)
(('Hurriyet4006', 'zubeyir', 'mehmetcandar'), 0.825275880189175)
(('Hurriyet2470', 'zubeyir', 'oteryaki'), 1.0)
(('Hurriyet2502', 'zubeyir', 'ramonberke'), 0.6127767979619831)
(('Hurriyet1281', 'zubeyir', 'ramonberke'), 0.47174217655301265)
(('Hurriyet3906', 'zubeyir', 'omerkuyucu'), 0.8135194912911252)
(('Hurriyet3530', 'zubeyir', 'oteryaki'), 0.8859667146085884)
(('Hurriyet4031', 'zubeyir', 'mustafacem'), 0.5893637508332715)
(('Hurriyet1131', 'zubeyir', 'omersurhay'), 0.5665104909350173)
(('Hurriyet194', 'alikoray', 'tolgaaydin'), 0.9526133501259446)
(('cnnturk1093', 'alikoray', 'umutonder'), 0.5994074074074074)
(('Hurriyet2488', 'alikoray', 'rebahozkoc'), 0.6813502972955694)
(('Hurriyet277', 'alikoray', 'dogru'), 0.6976814668889226)
(('Hurriyet2018', 'alikoray', 'alperenyildiz'), 0.8897847473925586)
(('Hurriyet598', 'alikoray', 'ramonberke'), 0.7623224330250739)
(('Hurriyet2176', 'alikoray', 'dogru'), 0.7745076096687556)
(('Hurriyet2771', 'alikoray', 'umutonder'), 0.8611590922627911)
(('Hurriyet274', 'alikoray', 'eagaev'), 0.6276432141484045)
(('cnnturk632', 'alikoray', 'oteryaki'), 0.6605077204920178)
(('Hurriyet4655', 'alikoray', 'alpercakar'), 0.7875)
(('Hurriyet3036', 'alikoray', 'msamil'), 0.8700944922107772)
(('Hurriyet3186', 'alikoray', 'mehmetcandar'), 0.9436804191224624)
(('Hurriyet4585', 'alikoray', 'idilkale'), 0.6721082740337658)
(('Hurriyet3793', 'alikoray', 'alpercakar'), 0.7279963611553332)
(('Hurriyet2459', 'alikoray', 'tolgaaydin'), 0.5914986037852932)
(('Hurriyet4535', 'alikoray', 'dogru'), 0.7019910605444941)
(('Hurriyet158', 'alikoray', 'alperenyildiz'), 0.5615263777981411)
(('Hurriyet2493', 'alikoray', 'omerkuyucu'), 0.7385769924954878)
(('Hurriyet3441', 'alikoray', 'kkaan'), 0.9260898428855941)
(('Hurriyet3282', 'alikoray', 'idilkale'), 0.8886884823499098)
(('Hurriyet4637', 'alikoray', 'ozgurbeker'), 0.816836262719704)
(('cnnturk1212', 'alikoray', 'idilkale'), 0.8559442773468419)
(('Hurriyet2968', 'alikoray', 'rebahozkoc'), 0.8265963319634423)
(('Hurriyet3021', 'alikoray', 'mustafacem'), 0.7766189290161893)
(('Hurriyet2867', 'ozgurbeker', 'dogru'), 0.730266893810335)
(('Hurriyet1220', 'ozgurbeker', 'alisinal'), 0.7510796337882191)
(('cnnturk1126', 'ozgurbeker', 'kkaan'), 0.7643574555755859)
(('Hurriyet1128', 'ozgurbeker', 'msamil'), 0.7645677873731869)
(('Hurriyet4405', 'ozgurbeker', 'mustafacem'), 0.6533796514366462)
(('Hurriyet828', 'ozgurbeker', 'alpercakar'), 0.8576105992537881)
(('Hurriyet829', 'ozgurbeker', 'alpercakar'), 0.653635533921509)
(('Hurriyet399', 'ozgurbeker', 'karakoc'), 0.2777698048220437)
(('cnnturk361', 'ozgurbeker', 'alpercakar'), 0.84914165148173)
(('Hurriyet1832', 'ozgurbeker', 'rebahozkoc'), 0.8302189001601709)
(('Hurriyet3500', 'ozgurbeker', 'msamil'), 0.8557252905078992)
(('Hurriyet1226', 'ozgurbeker', 'alperenyildiz'), 0.9269628727936701)
(('cnnturk223', 'ozgurbeker', 'karakoc'), 0.543651753325272)
(('Hurriyet3414', 'ozgurbeker', 'alpercakar'), 0.9090464547677262)
(('Hurriyet4859', 'ozgurbeker', 'ramonberke'), 0.787532103665655)
(('cnnturk712', 'ozgurbeker', 'kkaan'), 0.8105227882037533)
(('Hurriyet830', 'ozgurbeker', 'umutonder'), 0.8465150766188829)
(('Hurriyet1080', 'ozgurbeker', 'msamil'), 0.6916596461668071)
(('Hurriyet3352', 'ozgurbeker', 'kkaan'), 0.9098001902949572)
(('Hurriyet683', 'ozgurbeker', 'goktugmandaci'), 0.9404074186682883)
(('Hurriyet3330', 'ozgurbeker', 'mehmetcandar'), 0.8295470480998457)
(('Hurriyet4109', 'ozgurbeker', 'ramonberke'), 0.9849910233393178)
(('Hurriyet550', 'ozgurbeker', 'tolgaaydin'), 0.9002247191011236)
(('Hurriyet437', 'ozgurbeker', 'tolgaaydin'), 0.8376652986776105)
(('Hurriyet3525', 'alperenyildiz', 'tolgaaydin'), 0.8057103064066853)
(('Hurriyet2036', 'alperenyildiz', 'oteryaki'), 0.6524486571879937)
(('Hurriyet352', 'alperenyildiz', 'oteryaki'), 0.7312548029421451)
(('Hurriyet3897', 'alperenyildiz', 'idilkale'), 0.8256557196385277)
(('Hurriyet3625', 'alperenyildiz', 'alpercakar'), 0.8850669753596825)
(('Hurriyet3320', 'alperenyildiz', 'dogru'), 0.6112106327650968)
(('Hurriyet4336', 'alperenyildiz', 'goktugmandaci'), 0.8014646053702197)
(('Hurriyet367', 'alperenyildiz', 'eagaev'), 0.3591814754981153)
(('Hurriyet4379', 'alperenyildiz', 'eagaev'), 0.23889179299529528)
(('Hurriyet1316', 'alperenyildiz', 'umutonder'), 0.9107210988172453)
(('cnnturk1330', 'alperenyildiz', 'burakbatman'), 0.7416540848850863)
